GRID ID,Year,Institution name,Group,# Academic - Total,# Academic - Women,%  Academic - Women
grid.417909.2,2020,The University of Law,Unaligned,485,345,71.13402
grid.424182.9,2020,Courtauld Institute of Art,Unaligned,100,70,70
grid.104846.f,2020,"Queen Margaret University, Edinburgh",Million+,435,300,68.96552
grid.418023.c,2020,University College Birmingham,Unaligned,375,245,65.33333
grid.451003.3,2020,Writtle University College,Unaligned,155,100,64.51613
grid.189530.6,2020,University of Worcester,Unaligned,985,625,63.45178
grid.35349.38,2020,Roehampton University,Cathedrals,1260,795,63.09524
grid.417786.b,2020,The Royal Central School of Speech and Drama,Unaligned,485,305,62.8866
grid.417784.9,2020,Bishop Grosseteste University,Cathedrals,200,125,62.5
grid.127050.1,2020,Canterbury Christ Church University,Million+,1205,745,61.82573
grid.8991.9,2020,London School of Hygiene and Tropical Medicine,Unaligned,1265,765,60.47431
grid.418024.b,2020,University of St Mark and St John,Unaligned,250,150,60
grid.470672.0,2020,Stranmillis University College,Unaligned,75,45,60
grid.15034.33,2020,University of Bedfordshire,Million+,660,390,59.09091
grid.23378.3d,2020,University of the Highlands and Islands,Million+,110,65,59.09091
grid.264200.2,2020,"St George's, University of London",Unaligned,510,300,58.82353
grid.255434.1,2020,Edge Hill University,Unaligned,1600,935,58.4375
grid.5115.0,2020,Anglia Ruskin University,Alliance,3450,1995,57.82609
grid.20931.39,2020,The Royal Veterinary College,Unaligned,320,185,57.8125
grid.417787.a,2020,Conservatoire for Dance and Drama,Unaligned,210,120,57.14286
grid.266218.9,2020,University of Cumbria,Million+,465,265,56.98925
grid.4862.8,2020,Glyndwr University,GuildHE,255,145,56.86275
grid.42167.36,2020,Royal College of Art,Unaligned,820,465,56.70732
grid.18886.3f,2020,The Institute of Cancer Research,Unaligned,690,390,56.52174
grid.10837.3d,2020,The Open University,Unaligned,5810,3275,56.36833
grid.44870.3f,2020,The University of Northampton,Unaligned,870,490,56.32184
grid.20364.33,2020,"University of the Arts, London",Unaligned,2335,1310,56.10278
grid.417907.c,2020,"St Mary's University, Twickenham",Unaligned,410,230,56.09756
grid.417901.a,2020,Newman University,Cathedrals,170,95,55.88235
grid.12477.37,2020,The University of Brighton,Alliance,1585,885,55.83596
grid.267454.6,2020,The University of Winchester,Cathedrals,685,380,55.47445
grid.15874.3f,2020,Goldsmiths College,Unaligned,2020,1120,55.44554
grid.43710.31,2020,University of Chester,Cathedrals,1300,720,55.38462
grid.417900.b,2020,Leeds Trinity University,Million+,235,130,55.31915
grid.7628.b,2020,Oxford Brookes University,Alliance,1515,835,55.11551
grid.7362.0,2020,Bangor University,Unaligned,1310,720,54.96183
grid.51008.3c,2020,University for the Creative Arts,Million+,1120,610,54.46429
grid.146189.3,2020,Liverpool Hope University,Cathedrals,395,215,54.43038
grid.9757.c,2020,Keele University,Unaligned,1215,660,54.32099
grid.47170.35,2020,Cardiff Metropolitan University,Unaligned,715,385,53.84615
grid.417906.d,2020,St Mary's University College,Unaligned,65,35,53.84615
grid.451095.c,2020,The National Film and Television School,Unaligned,65,35,53.84615
grid.411820.e,2020,Buckinghamshire New University,GuildHE,410,220,53.65854
grid.417899.a,2020,Harper Adams University,GuildHE,205,110,53.65854
grid.449668.1,2020,University of Suffolk,Unaligned,345,185,53.62319
grid.6518.a,2020,"University of the West of England, Bristol",Alliance,2580,1375,53.29457
grid.48004.38,2020,Liverpool School of Tropical Medicine,Unaligned,235,125,53.19149
grid.252874.e,2020,Bath Spa University,Million+,575,305,53.04348
grid.450990.1,2020,Rose Bruford College of Theatre and Performance*,Unaligned,85,45,52.94118
grid.7943.9,2020,The University of Central Lancashire,Million+,1715,905,52.76968
grid.59490.31,2020,Robert Gordon University,Million+,730,385,52.73973
grid.11918.30,2020,The University of Stirling,Unaligned,1005,530,52.73632
grid.25627.34,2020,The Manchester Metropolitan University,Unaligned,2600,1370,52.69231
grid.420422.2,2020,Glasgow School of Art,Unaligned,285,150,52.63158
grid.5214.2,2020,Glasgow Caledonian University,Unaligned,1485,780,52.52525
grid.451094.d,2020,Leeds Arts University,GuildHE,210,110,52.38095
grid.5846.f,2020,University of Hertfordshire,Unaligned,2330,1220,52.36052
grid.11201.33,2020,University of Plymouth,Unaligned,1850,965,52.16216
grid.60969.30,2020,The University of East London,Million+,1385,720,51.98556
grid.6374.6,2020,The University of Wolverhampton,Million+,1300,675,51.92308
grid.451096.f,2020,Plymouth College of Art,Unaligned,135,70,51.85185
grid.22631.34,2020,SOAS University of London,Unaligned,685,355,51.82482
grid.8273.e,2020,The University of East Anglia,Unaligned,2610,1350,51.72414
grid.8391.3,2020,The University of Exeter,Russell,4375,2260,51.65714
grid.12362.34,2020,University of Wales Trinity Saint David,Cathedrals,905,465,51.38122
grid.5884.1,2020,Sheffield Hallam University,Unaligned,2085,1070,51.31894
grid.417908.3,2020,The Arts University Bournemouth,GuildHE,390,200,51.28205
grid.426884.4,2020,SRUC,Unaligned,410,210,51.21951
