grid_id,name,total_pub,oa,oa_gold,oa_green,event_total,women_acad,total_rev
grid.411958.0,Australian Catholic University,972,51.85185185,30.14403292,43.41563786,70.16460905,59.21717172,555205.00
grid.462044.0,Avondale University College,19,57.89473684,36.84210526,31.57894737,52.63157895,53.7037037,
grid.431331.7,Batchelor Institute of Indigenous Tertiary Education,11,9.090909091,9.090909091,0,54.54545455,87.5,31239.00
grid.1033.1,Bond University,509,76.62082515,37.72102161,68.95874263,66.20825147,53.05466238,
grid.1043.6,Charles Darwin University,794,53.27455919,38.03526448,38.28715365,70.78085642,58.36298932,308305.00
grid.1037.5,Charles Sturt University,1050,42.19047619,27.61904762,30.85714286,58.19047619,45.84474886,569210.00
grid.1023.0,CQUniversity,831,41.03489771,26.47412756,30.68592058,58.7244284,55.70890841,449963.00
grid.1032.0,Curtin University,4099,49.1583313,27.17736033,38.57038302,67.77262747,45.84507042,902715.00
grid.1021.2,Deakin University,4866,42.72503083,24.90752158,33.06617345,66.1323469,50.40075436,1224003.00
grid.1038.a,Edith Cowan University,1478,53.78890392,32.74695535,46.34641407,69.41813261,56.43994211,477218.00
grid.1040.5,Federation University Australia,604,48.17880795,23.67549669,41.88741722,55.62913907,52.20588235,343309.00
grid.1014.4,Flinders University,2589,52.800309,32.52220935,38.00695249,68.01853998,60.1,532198.00
grid.1022.1,Griffith University,4194,55.53171197,25.48879351,49.07010014,67.23891273,51.5226849,967585.00
grid.1011.1,James Cook University,1882,57.43889479,37.61955367,51.32837407,73.21997875,53.75586854,476465.00
grid.1018.8,La Trobe University,3200,49.40625,31.8125,36.84375,68.71875,57.55244755,782487.00
grid.1004.5,Macquarie University,4241,47.3237444,26.88045272,36.97241217,64.41876916,45.49795362,974088.00
grid.1002.3,Monash University,8913,54.84124313,27.84696511,43.01581959,66.89105801,47.75189599,2697018.00
grid.1025.6,Murdoch University,1384,52.02312139,32.87572254,44.65317919,70.37572254,48.48966614,378662.00
grid.1024.7,Queensland University of Technology,4295,59.04540163,26.86845169,52.71245634,69.12689173,46.16048318,1054164.00
grid.1017.7,RMIT University,9115,52.69336259,34.4816237,41.20680197,61.6236972,44.29301533,1291816.00
grid.1031.3,Southern Cross University,677,41.94977843,27.76957164,28.80354505,69.71935007,52.60273973,291286.00
grid.1027.4,Swinburne University of Technology,2562,41.06167057,19.71116315,31.57689305,62.02185792,40.6471183,745154.00
grid.1001.0,The Australian National University,5663,56.64841957,27.77679675,45.9650362,65.44234505,40.56701031,1297514.00
grid.1010.0,The University of Adelaide,5654,51.43261408,29.3951185,40.57304563,68.60629643,39.82089552,976906.00
grid.1008.9,The University of Melbourne,13574,62.25872992,32.63592161,53.24885811,68.82274937,49.30232558,2657711.00
grid.1020.3,The University of New England,872,42.66055046,26.49082569,32.11009174,64.33486239,49.03339192,347924.00
grid.266842.c,The University of Newcastle,3559,50.43551559,30.37370048,39.05591458,67.60325934,51.44981413,794924.00
grid.266886.4,The University of Notre Dame Australia,389,52.44215938,23.3933162,39.33161954,58.61182519,55.22123894,198876.00
grid.1003.2,The University of Queensland,11976,55.57782231,30.15197061,44.72277889,71.250835,42.54926108,2119635.00
grid.1013.3,The University of Sydney,14901,51.76162674,29.07858533,40.47379371,65.68686665,47.26775956,2644430.00
grid.1012.2,The University of Western Australia,5982,53.92845202,29.75593447,43.0625209,69.97659646,44.32301154,968870.00
grid.1039.b,University of Canberra,836,46.53110048,30.14354067,32.89473684,67.82296651,51.74537988,312402.00
grid.431470.5,University of Divinity,32,21.875,12.5,3.125,28.125,32.5,
grid.1005.4,University of New South Wales,12001,48.97925173,27.27272727,36.63861345,66.37780185,40.65190652,2162665.00
grid.1026.5,University of South Australia,2373,51.15887063,28.02359882,42.43573536,66.49810367,51.14263199,696051.00
grid.1048.d,University of Southern Queensland,1164,47.33676976,22.59450172,40.20618557,68.47079038,47.94069193,344972.00
grid.1009.8,University of Tasmania,2521,53.94684649,30.10710036,45.33915113,71.04323681,49.88880652,713244.00
grid.117476.2,University of Technology Sydney,5325,48.16901408,21.61502347,42.81690141,61.37089202,45.0059453,1058767.00
grid.1034.6,University of the Sunshine Coast,1070,44.11214953,25.88785047,32.52336449,63.64485981,53.09381238,321578.00
grid.1007.6,University of Wollongong,3283,44.25830034,24.79439537,36.09503503,66.61590009,43.04970514,620343.00
grid.1019.9,Victoria University,990,53.43434343,32.02020202,44.74747475,63.63636364,47.57785467,474294.00
