id,grouping
grid.411958.0,Unaligned
grid.462044.0,IHEA
grid.431331.7,Unaligned
grid.1033.1,IHEA
grid.1043.6,IRU
grid.1037.5,RUN
grid.1023.0,RUN
grid.1032.0,ATN
grid.1021.2,ATN
grid.1038.a,Unaligned
grid.1040.5,RUN
grid.1014.4,IRU
grid.1022.1,IRU
grid.1011.1,IRU
grid.1018.8,IRU
grid.1004.5,Unaligned
grid.1002.3,Go8
grid.1025.6,IRU
grid.1024.7,Unaligned
grid.1017.7,ATN
grid.1031.3,RUN
grid.1027.4,Unaligned
grid.1001.0,Go8
grid.1010.0,Go8
grid.1008.9,Go8
grid.1020.3,RUN
grid.266842.c,Unaligned
grid.266886.4,Unaligned
grid.1003.2,Go8
grid.1013.3,Go8
grid.1012.2,Go8
grid.1039.b,IRU
grid.431470.5,IHEA
grid.1005.4,Go8
grid.1026.5,ATN
grid.1048.d,RUN
grid.1009.8,Unaligned
grid.117476.2,ATN
grid.1034.6,RUN
grid.1007.6,Unaligned
grid.1019.9,Unaligned
