grid,name,total_pub,oa,oa_gold,oa_green,event_total,women_acad,total_income
grid.417905.e,Royal Agricultural University*,44,75,38.63636364,72.72727273,68.18181818,25,17786
grid.9435.b,The University of Reading,2259,76.62682603,45.24125719,71.58034529,69.27844179,50.39577836,313843
grid.23695.3b,York St John University,173,60.11560694,20.80924855,56.06936416,49.13294798,50,68825
grid.267454.6,The University of Winchester,206,46.11650485,26.21359223,31.55339806,57.2815534,55.47445255,80906
grid.44361.34,Abertay University,137,86.86131387,31.38686131,83.94160584,60.58394161,41.86046512,35984
grid.20409.3f,Edinburgh Napier University,638,65.20376176,33.85579937,56.42633229,57.52351097,47.2392638,127616
grid.417906.d,St Mary's University College,7,42.85714286,14.28571429,14.28571429,28.57142857,53.84615385,9298
grid.8752.8,The University of Salford,965,78.86010363,37.92746114,71.91709845,62.07253886,48.27586207,213803
grid.19873.34,Staffordshire University,256,64.84375,24.609375,60.546875,60.15625,46.80232558,122775
grid.20931.39,The Royal Veterinary College,661,79.72768533,56.12708018,71.70953101,66.71709531,57.8125,108874
grid.21027.36,University of Gloucestershire*,238,67.64705882,23.1092437,65.12605042,60.08403361,47.82608696,77834
grid.81800.31,The University of West London*,238,78.57142857,28.1512605,70.16806723,48.31932773,42.9245283,116017
grid.88379.3d,Birkbeck College,840,67.38095238,34.4047619,60,60.47619048,48.65900383,108707
grid.5475.3,The University of Surrey,2599,57.98383994,30.85802232,45.01731435,63.67833782,39.41018767,315165
grid.421653.7,Royal Academy of Music*,29,79.31034483,37.93103448,72.4137931,68.96551724,33.33333333,26159
grid.57686.3a,University of Derby,552,59.7826087,27.17391304,51.44927536,62.5,50.29585799,193812
grid.48004.38,Liverpool School of Tropical Medicine,772,96.24352332,67.0984456,94.17098446,72.92746114,53.19148936,228069
grid.266218.9,University of Cumbria,91,80.21978022,18.68131868,74.72527473,60.43956044,56.98924731,56393
grid.451096.f,Plymouth College of Art*,8,37.5,12.5,37.5,25,51.85185185,14622
grid.411820.e,Buckinghamshire New University*,45,60,35.55555556,57.77777778,44.44444444,53.65853659,117266
