id,grouping
grid.417909.2,Unaligned
grid.424182.9,Unaligned
grid.104846.f,Million+
grid.418023.c,Unaligned
grid.451003.3,Unaligned
grid.189530.6,Unaligned
grid.35349.38,Cathedrals
grid.417786.b,Unaligned
grid.417784.9,Cathedrals
grid.127050.1,Million+
grid.8991.9,Unaligned
grid.418024.b,Unaligned
grid.470672.0,Unaligned
grid.15034.33,Million+
grid.23378.3d,Million+
grid.264200.2,Unaligned
grid.255434.1,Unaligned
grid.5115.0,Alliance
grid.20931.39,Unaligned
grid.417787.a,Unaligned
grid.266218.9,Million+
grid.4862.8,GuildHE
grid.42167.36,Unaligned
grid.18886.3f,Unaligned
grid.10837.3d,Unaligned
grid.44870.3f,Unaligned
grid.20364.33,Unaligned
grid.417907.c,Unaligned
grid.417901.a,Cathedrals
grid.12477.37,Alliance
grid.267454.6,Cathedrals
grid.15874.3f,Unaligned
grid.43710.31,Cathedrals
grid.417900.b,Million+
grid.7628.b,Alliance
grid.7362.0,Unaligned
grid.51008.3c,Million+
grid.146189.3,Cathedrals
grid.9757.c,Unaligned
grid.417906.d,Unaligned
grid.451095.c,Unaligned
grid.47170.35,Unaligned
grid.411820.e,GuildHE
grid.417899.a,GuildHE
grid.449668.1,Unaligned
grid.6518.a,Alliance
grid.48004.38,Unaligned
grid.252874.e,Million+
grid.450990.1,Unaligned
grid.7943.9,Million+
grid.59490.31,Million+
grid.11918.30,Unaligned
grid.25627.34,Unaligned
grid.420422.2,Unaligned
grid.5214.2,Unaligned
grid.451094.d,GuildHE
grid.5846.f,Unaligned
grid.11201.33,Unaligned
grid.60969.30,Million+
grid.6374.6,Million+
grid.451096.f,Unaligned
grid.22631.34,Unaligned
grid.8273.e,Unaligned
grid.8391.3,Russell
grid.12362.34,Cathedrals
grid.5884.1,Unaligned
grid.417908.3,GuildHE
grid.426884.4,Unaligned
grid.261220.5,GuildHE
grid.266161.4,Cathedrals
grid.36316.31,Alliance
grid.4756.0,Million+
grid.15538.3a,Alliance
grid.15822.3c,Alliance
grid.15756.30,Million+
grid.9435.b,Unaligned
grid.19822.30,Alliance
grid.57686.3a,Alliance
grid.48815.30,Unaligned
grid.13097.3c,Russell
grid.23695.3b,Cathedrals
grid.451002.2,Unaligned
grid.7110.7,Million+
grid.17236.31,Unaligned
grid.8241.f,Unaligned
grid.12361.37,Unaligned
grid.12896.34,Unaligned
grid.10346.30,Million+
grid.4464.2,Unaligned
grid.23231.31,Million+
grid.26597.3f,Alliance
grid.88379.3d,Unaligned
grid.83440.3b,Russell
grid.36076.34,Million+
grid.8752.8,Unaligned
grid.5685.e,Russell
grid.15751.37,Unaligned
grid.21027.36,Cathedrals
grid.8186.7,Unaligned
grid.8756.c,Russell
grid.42629.3b,Unaligned
grid.5600.3,Russell
grid.20409.3f,Million+
grid.9759.2,Unaligned
grid.8356.8,Unaligned
grid.421855.f,Unaligned
grid.12082.39,Unaligned
grid.4777.3,Russell
grid.19873.34,Million+
grid.9918.9,Unaligned
grid.28577.3f,Unaligned
grid.6268.a,Unaligned
grid.7107.1,Unaligned
grid.36511.30,Unaligned
grid.6572.6,Russell
grid.7273.1,Unaligned
grid.90685.32,Unaligned
grid.8096.7,Alliance
grid.9481.4,Unaligned
grid.4868.2,Russell
grid.1006.7,Russell
grid.4701.2,Unaligned
grid.4305.2,Russell
grid.43086.39,GuildHE
grid.10025.36,Russell
grid.9909.9,Russell
grid.4563.4,Russell
grid.4425.7,Unaligned
grid.13063.37,Russell
grid.4970.a,Unaligned
grid.410658.e,Alliance
grid.5379.8,Russell
grid.5337.2,Russell
grid.8250.f,Russell
grid.7728.a,Unaligned
grid.81800.31,Million+
grid.9835.7,Unaligned
grid.5335.0,Russell
grid.11914.3c,Unaligned
grid.450941.d,Unaligned
grid.434939.0,Unaligned
grid.4991.5,Russell
grid.7340.0,Unaligned
grid.11835.3e,Russell
grid.44361.34,Million+
grid.437498.5,Unaligned
grid.5491.9,Russell
grid.7372.1,Russell
grid.4827.9,Unaligned
grid.5475.3,Unaligned
grid.11984.35,Unaligned
grid.421665.2,Unaligned
grid.31044.32,Million+
grid.6571.5,Unaligned
grid.451001.1,Unaligned
grid.12641.30,Unaligned
grid.7445.2,Russell
grid.9531.e,Unaligned
grid.14868.33,Unaligned
grid.421653.7,Unaligned
grid.8155.9,Unaligned
grid.450940.c,Unaligned
grid.462506.3,Unaligned
grid.417905.e,Unaligned
grid.12026.37,Unaligned
